tmdb_id,title,release_year,genres,overview,keywords,country,revenue_usd,vote_count,in_top_k_by_revenue,is_period_piece,signals_used,setting_start_year,setting_end_year,setting_decade,year_gap,era_hits,setting_type,setting_confidence,sources_used
221244,One Song a Day Takes Mischief Away,1970,"['Comedy', 'Drama', 'Music']","Set in pre-World War II Zagreb, the story is seen through the eyes of 6-year-old Perica Šafranek (played by Tomislav Žganec). A dandy from Zagreb, Mr Fulir (played by Relja Bašić), starts flirting with Perica's mother during a family picnic. At first, Perica's father doesn't notice anything, but wants to marry off Perica's aunt, so he invites the man to their residence. After multiple rendezvous, Perica's father becomes aware of Fulir's attempts to seduce his wife.","['flirt', 'marriage', 'zagreb', 'croatia', 'singing', 'period drama', 'infatuation']",['YU'],0,17,True,False,[],1914.0,1945.0,1910s,56.0,"['world war ii', 'world war i']",past,0.9,"['overview', 'keywords']"
28733,"Count Yorga, Vampire",1970,['Horror'],"Posing as a hip medium, a bloodthirsty old-world undead gent attracts young lovelies to his mansion by holding séances in modern-day Los Angeles.","['cat', 'vampire', 'kidnapping', 'castle', 'harem', 'murder', 'mansion', 'los angeles, california', 'doctor', 'hypnotism', 'lesbian']",['US'],1300000,55,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
5185,The Private Life of Sherlock Holmes,1970,"['Mystery', 'Comedy', 'Crime', 'Adventure', 'History']","Holmes and Dr. Watson take on the case of a beautiful woman whose husband has vanished. The investigation proves strange indeed, involving six missing midgets, villainous monks, a Scottish castle, the Loch Ness monster, and covert naval experiments.","['loch ness monster', 'german spy', 'midgets', 'sherlock holmes']","['US', 'GB']",1500000,311,True,True,['genre_period'],,,,,[],unknown,0.3,"['overview', 'keywords']"
147009,Anna Karenina,1967,"['Drama', 'Romance']","The plot of the film is the love of a married woman, Anna Karenina, and a young officer, Aleksei Vronsky. Anna leaves the family in search of happiness to her beloved person. She has to take a very serious step in her life - to part with her son. The attitude of the high society towards her is changing. All this brings a lot of pain and humiliation to the main character.  The tragic story of love and betrayal, the fate of a woman, for the sake of passion who decided to change her life irrevocably.","['adultery', 'infidelity', 'jealousy', 'based on novel or book', 'love triangle', 'suicide attempt', 'unfaithfulness', 'love affair', 'high society', '19th century', 'aristocracy', 'russian empire', 'leo tolstoy']",['SU'],0,24,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
34377,The Boys in the Band,1970,['Drama'],"A witty, perceptive and devastating look at the personal agendas and suppressed revelations swirling among a group of gay men in Manhattan. Harold is celebrating a birthday, and his friend Michael has drafted some other friends to help commemorate the event. As the evening progresses, the alcohol flows, the knives come out, and Michael's demand that the group participate in a devious telephone game, unleashing dormant and unspoken emotions.","['new york city', 'birthday party', 'based on play or musical', 'male homosexuality', 'lgbt', 'self-loathing', 'gay theme']",['US'],3500000,109,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
23114,Little Lord Fauntleroy,1936,"['Drama', 'Family']","An American boy turns out to be the heir of a wealthy British earl. He is sent to live with the irritable and unsentimental aristocrat, his grandfather.","['based on novel or book', 'england', 'grandparent grandchild relationship', 'grocer', 'lord', 'brooklyn, new york city', 'heir', 'scam artist', 'earl', 'shoeshine boy', '19th century', 'aristocracy', '1880s']",['US'],1037000,57,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
8785,The Saragossa Manuscript,1965,"['Fantasy', 'Mystery', 'History']","During the Napoleonic wars, a Spanish officer and an opposing officer find a book written by the former's grandfather.","['spain', 'vorfahren']",['PL'],13377,143,True,False,"['genre_period', 'fantasy_penalty']",,,,,[],unknown,0.3,"['overview', 'keywords']"
259665,Rubí,1970,"['Drama', 'Romance']","Rubi steals the fiancé from her millionaire friend Maribel, leaves her city and gets married in New York.",[],['MX'],0,24,True,False,[],,,,,[],unknown,0.3,['overview']
448085,Red the Half Breed,1970,['Drama'],The illegitimate son of an Indian woman and a French Canadian man leaves home and is attacked when he tries to return.,"['detective', 'car salesman', 'half sister']",['CA'],0,22,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
19545,Invasion of Astro-Monster,1965,"['Science Fiction', 'Action']","Astronauts Glenn and Fuji investigate Planet X and encounter mysterious aliens known as the Xiliens, who ask Earth's people to help save their world from ""Monster Zero"".  In exchange for borrowing Godzilla and Rodan, the Xiliens offer a cure for cancer. As Glenn investigates, he develops a romance with Miss Namikawa and uncovers the Xilien's true intentions.","['japan', 'monster', 'giant monster', 'sequel', 'alien', 'ufo', 'dinosaur', 'alien invasion', 'rodan', 'kaiju', 'king ghidorah', 'godzilla', 'tokusatsu', 'coproduction']",['JP'],3000000,236,True,False,['fantasy_penalty'],,,,,[],unknown,0.3,"['overview', 'keywords']"
5722,Beyond the Valley of the Dolls,1970,"['Comedy', 'Drama', 'Music']","An all-girl rock band moves to Hollywood in the hope of achieving success, only to fall into a whirlpool of wickedness and decadence.","['pop star', 'pop', 'musical', 'sexploitation', 'rock band', 'inheritance fight', 'all girl band', 'psychotronic', 'sexual liberation', 'socialite party', 'independent film', 'women in music']",['US'],9000000,207,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
10331,Night of the Living Dead,1968,"['Horror', 'Thriller']",A ragtag group barricade themselves in an old Pennsylvania farmhouse to remain safe from a horde of flesh-eating ghouls ravaging the Northeast.,"['sibling relationship', 'pennsylvania, usa', 'loss of loved one', 'gun', 'gas station', 'cemetery', 'cellar', 'halloween', 'house', 'barricade', 'zombie', 'black and white', 'trapped', 'bitten', 'farm house', 'frantic', 'satirical', 'anxious', 'foreboding', 'frightened', 'frustrated', 'horrified']",['US'],30236452,2606,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
42588,Getting Straight,1970,"['Comedy', 'Drama', 'Romance']","Graduate student Harry Bailey was once one of the most visible undergraduate activists on campus, but now that he's back studying for his master's, he's trying to fly right. Trouble is, the campus is exploding with various student movements, and Harry's girlfriend, Jan, is caught up in most of them. As Harry gets closer to finishing his degree, he finds his iconoclastic attitude increasingly aligned with the students rather than the faculty.","['based on novel or book', 'college', 'protest', 'activism', 'anti-war activist', 'student activism']",['US'],13300000,35,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
42586,Darling Lili,1970,"['Music', 'War', 'Drama', 'Comedy', 'Romance']","World War I. Lili Smith is a beloved British music hall singer, often providing inspiration for the British and French troops and general populace singing rallying patriotic songs. She is also half German and is an undercover German spy, using her feminine wiles to gather information from the high ranking and generally older military officers and diplomats she seduces.","['spy', 'uncle']",['US'],3250000,36,True,True,['genre_period'],1914.0,1918.0,1910s,56.0,['world war i'],past,0.9,"['overview', 'keywords']"
1629,La Chinoise,1967,"['Drama', 'Comedy']","A small group of French students are studying Mao, trying to find out their position in the world and how to change the world to a Maoistic community using terrorism.","['suicide', 'paris, france', 'based on novel or book', 'capitalism', 'politics', 'roommates', 'terrorism', 'communism', 'class struggle', 'maoism', 'experimental cinema', 'marxism']",['FR'],30857,227,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
248927,En un lugar de la Manga,1970,['Comedy'],,[],['ES'],0,16,True,False,[],,,,,[],unknown,0.3,['overview']
906337,Re - The God of Sun,1970,['Animation'],"A swarm of slaves in ancient Egypt moves massive boulders to erect a statue of Re, the god of the sun. Erecting impressive structures required knowledge and exact measurements. However, the statue's massive hand falls down and crushes the builders. The statue has been awe-inspiring for many centuries. Meditations on the religious nature of man.","['religious cult', 'paper cut']",['PL'],0,23,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
3170,Bambi,1942,"['Animation', 'Drama', 'Family']","Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.","['loss of loved one', 'cartoon', 'forest', 'coming of age', 'best friend', 'cartoon rabbit', 'forest fire', 'fawn', 'cartoon deer']",['US'],267447150,5872,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
46691,Joe,1970,"['Drama', 'Crime']","After murdering his daughter's drug-dealing boyfriend, a wealthy ad executive stumbles into a bar and strikes up an uneasy alliance with Joe Curran, a drunken bigot with a bloodlust who works at a local factory.","['drug dealer', 'drug abuse', 'free love', 'businessman', 'war veteran', 'upper class', 'gun rampage', 'orgy', 'abusive father', 'racist', 'drug stealing']",['US'],19319254,71,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
42600,Watermelon Man,1970,['Comedy'],"A racist insurance agent lives in a typical suburban neighborhood, but his bigoted world of taunting and harassing black people on and off the job is turned upside down when his skin inexplicably turns dark overnight.","['satire', 'racist', 'racism', 'malicious', 'independent film', 'tanning bed', 'hilarious', 'mean spirited', 'scathing', 'whiteface']",['US'],1100000,54,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
491115,Capulina Speedy González,1970,"['Comedy', 'Family', 'Western']","Pony Express mailman in old west discovers super-powered chiles, gets tangled up with bank robbers.",[],['MX'],0,30,True,True,['genre_period'],,,,,[],unknown,0.3,['overview']
624,Easy Rider,1969,"['Adventure', 'Drama']","Wyatt and Billy, two Harley-riding hippies, complete a drug deal in Southern California and decide to travel cross-country in search of spiritual truth.","['adolescence', 'rebel', 'drug trafficking', 'brothel', 'drug addiction', 'opium', 'arbitrary law', 'highway', 'lsd', 'marijuana', 'road movie']",['US'],60000000,2072,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
1651,Mississippi Mermaid,1969,"['Romance', 'Drama', 'Crime', 'Thriller']","A tobacco planter on Réunion island in the Indian Ocean becomes engaged through correspondence to a French woman he does not know. The woman that arrives does not look like the picture he received, but he marries her anyway.","['exotic island', ""love of one's life"", 'marriage', 'plantation', 'lonely hearts ad', 'femme fatale', 'beautiful woman', 'mail order bride', 'french noir', 'personal ad', 'identity swap', 'crime of passion', 'correspondences', 'on the lam', 'con artist woman', 'bank account drained', 'plantation owner', 'fugitive lovers', 'hitchcockian', 'tobacco plantation']",['FR'],7356000,209,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
42612,Medium Cool,1969,['Drama'],"John Cassellis is the toughest TV news reporter around. After extensively reporting about violence and racial tensions in poor communities, he discovers that his network is helping the FBI by granting them access to his footage to find suspects.","['chicago, illinois', 'vietnam war', 'police brutality', 'presidential election', 'journalism', 'political activism', 'national guard', 'historical event', 'political protest', 'cinéma vérité', 'mother son relationship', 'democratic party']",['US'],5500000,77,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
1654,The Dirty Dozen,1967,"['Action', 'Adventure', 'War']","12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.","['mission', 'based on novel or book', 'nazi', 'secret mission', 'world war ii', 'castle', 'hand grenade', 'training', 'us army', 'fistfight', 'shootout', 'suicide mission', 'soldier', 'explosion', 'commando', 'behind enemy lines', 'military police']","['US', 'GB']",45300000,1261,True,True,"['genre_period', 'keyword_period']",1914.0,1945.0,1910s,53.0,"['world war ii', 'world war i']",past,0.9,"['overview', 'keywords']"
630,The Wizard of Oz,1939,"['Adventure', 'Fantasy', 'Family']","Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","['witch', 'adolescence', 'dreams', 'based on novel or book', 'secret identity', 'lion', 'tornado', 'twister', 'scarecrow', 'villain', 'musical', 'kansas, usa', 'imaginary land', 'cowardliness', 'monkey', 'female villain', 'fantasy world', 'wizard', 'technicolor', 'sepia color', 'hourglass', 'christmas', 'red shoes', 'based on young adult novel', 'tin man', 'playful', 'grand', 'admiring', 'adoring', 'bold', 'cheerful', 'comforting', 'compassionate', 'exuberant', 'joyful', 'powerful']",['US'],33754967,5879,True,False,['fantasy_penalty'],,,,,[],unknown,0.3,"['overview', 'keywords']"
17529,True Grit,1969,['Western'],"The murder of her father sends a teenage tomboy on a mission of 'justice', which involves avenging her father's death. She recruits a tough old marshal, 'Rooster' Cogburn because he has 'true grit', and a reputation of getting the job done.","['bounty hunter', 'man hunt']",['US'],37659900,822,True,True,['genre_period'],,,,,[],unknown,0.3,"['overview', 'keywords']"
10364,Catch-22,1970,"['War', 'Comedy']",A WWII military pilot makes a valiant effort to be certified insane in order to be excused from flying missions. But there's a catch.,"['island', 'based on novel or book', 'world war ii', 'bomber', 'american']",['US'],24911670,327,True,True,"['genre_period', 'keyword_period']",1914.0,1945.0,1910s,56.0,"['wwii', 'wwi']",past,0.9,"['overview', 'keywords']"
42622,Finian's Rainbow,1968,"['Fantasy', 'Romance', 'Family']","An Irishman and his daughter arrive in the American South with a stolen pot of gold, hoping to make their fortune. Pursued by a leprechaun desperate to recover his treasure, they become entangled in a battle over land, love, and prejudice in Rainbow Valley—where the gold’s magic turns wishes, and lives, upside down.","['gold', 'deaf-mute', 'fort knox', 'wish', 'musical', 'based on play or musical', 'leprechaun', 'racism', 'irishman', 'father daughter relationship']",['US'],11600000,44,True,False,['fantasy_penalty'],,,,,[],unknown,0.3,"['overview', 'keywords']"
209535,Is It Always Right to Be Right?,1970,['Animation'],"The world is divided into factions, on opposite sides of issues; each side is, of course, right. And so the gap between the people grows, until someone challenges the absolutist view of what's ""right.""",[],['US'],0,20,True,False,[],,,,,[],unknown,0.3,['overview']
28289,Cactus Flower,1969,"['Comedy', 'Romance']","A dentist pretends to be married to avoid commitment, but when he falls for his girlfriend and proposes, he must recruit his lovelorn nurse to pose as his wife.","['nurse', 'mine', 'lovelorn']",['US'],25800000,230,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
642,Butch Cassidy and the Sundance Kid,1969,"['Adventure', 'Western', 'Crime', 'Drama', 'History']","As the west rapidly becomes civilized, a pair of outlaws in 1890s Wyoming find themselves pursued by a posse and decide to flee to South America in hopes of evading the law.","['dynamite', 'bolivia', 'male friendship', 'on the run', 'shootout', 'buddy', 'sundance kid', 'butch cassidy', 'train robbery', 'posse', 'escape plan', 'western bandits', 'comforting', 'excited']",['US'],102308889,2347,True,True,"['genre_period', 'decade_phrase']",1890.0,1899.0,1890s,79.0,[],past,0.9,"['overview', 'keywords']"
10882,Sleeping Beauty,1959,"['Fantasy', 'Animation', 'Romance', 'Family']","Cursed to die by the evil fairy Maleficent when she was a baby, Princess Aurora is sent into hiding under protection from three good fairies. As she grows up far away, Maleficent becomes increasingly determined to seal the princess's fate.","['witch', 'princess', 'magic', 'kingdom', 'fairy tale', 'sleep', 'fairy', 'cartoon', 'prince', 'castle', 'villain', 'kiss', 'knight', 'dragon', 'dungeon', 'female villain', 'based on fairy tale', 'comforting', 'sleeping beauty']",['US'],51600000,5344,True,False,['fantasy_penalty'],,,,,[],unknown,0.3,"['overview', 'keywords']"
132,Gimme Shelter,1970,"['Documentary', 'Music']","A detailed chronicle of the famous 1969 tour of the United States by the British rock band The Rolling Stones, which culminated with the disastrous and tragic concert held on December 6 at the Altamont Speedway Free Festival, an event of historical significance, as it marked the end of an era: the generation of peace and love suddenly became the generation of disillusionment.","['hells angels', 'concert film', 'rock concert', 'direct cinema', 'music tour']",['US'],252570,181,True,False,[],1969.0,1969.0,1960s,1.0,[],present,0.8,"['overview', 'keywords']"
24197,Mr. & Mrs. Smith,1941,"['Comedy', 'Romance']","Happily married for three years, Ann and David Smith live in New York. One morning Ann asks David if he had to do it over again, would he marry her? To her shock, he answers, ""No"". Later that day, they separately discover that, due to a legal complication, they are not legally married.","['taxi', 'police', 'smoking', 'office', 'rain', 'gin', 'diary', 'champagne', 'snow', 'lawyer', 'black and white', 'screwball comedy', 'comedy of remarriage']",['US'],1400000,217,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
379014,Pink Punch,1966,['Animation'],"The Pink Panther is a chemist who has perfected a pink health drink. When the Pink Panther tries to promote his drink with a series of signs, each of them in pink writing, the starry dot atop the ""i"" in ""pink"" has a mind of its own and, to frustrate the Pink Panther, turns green and repeatedly squirts ugly, green fluid on the panther's fur. The Pink Panther is able to restore his fur's pink color by drinking some of his health drink. But the green dot persistently interferes with the panther's efforts to promote his pink drink. Infuriated, the panther tries to eradicate the green dot, only to find that the dot has a guardian - another green dot of a much larger size.",[],['US'],0,15,True,False,[],,,,,[],unknown,0.3,['overview']
225409,Liberation: Direction of the Main Blow,1970,"['War', 'Drama']",This five part epic war drama gives a dramatized detailed account of Soviet Union's war against Nazi Germany during world war two. Each of the five parts represents a separate major eastern front campaign.,['world war ii'],['SU'],0,100,True,True,"['genre_period', 'keyword_period']",,,,,[],unknown,0.3,"['overview', 'keywords']"
157319,Blood of the Condor,1969,"['Crime', 'Drama']",A community reacts against a group of foreigners who under the guise of development assistance are forcibly sterilizing the peasant women.,"['bolivia', 'sterilization']",['BO'],0,24,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
138,Dracula,1931,"['Horror', 'Fantasy', 'Romance']","British estate agent Renfield travels to Transylvania to meet the mysterious Count Dracula, who is interested in leasing a castle in London. After Dracula enslaves Renfield and drives him to insanity, the pair sail to London together and Dracula, a secret vampire, begins preying on London socialites.","['monster', 'based on novel or book', 'transylvania', 'vampire', 'spider', 'halloween', 'castle', 'bat', 'undead', 'count', 'based on play or musical', 'sanitarium', 'black and white', 'biting', 'pre-code', 'real estate agent', 'lunatic', 'dracula']",['US'],700000,1307,True,False,['fantasy_penalty'],,,,,[],unknown,0.3,"['overview', 'keywords']"
651,M*A*S*H,1970,"['Comedy', 'Drama', 'War']",The staff of a Korean War field hospital use humor and hijinks to keep their sanity in the face of the horror of war.,"['american football', 'dark comedy', 'surgeon', 'american  way of life', 'korean war (1950-53)', 'military spoof', 'doctor', 'surgery', 'anti war', 'military hospital', '1950s', 'field hospital', 'korea', 'u.s. army hospital']",['US'],81600000,1097,True,True,['genre_period'],,,,,[],unknown,0.3,"['overview', 'keywords']"
11916,Two Mules for Sister Sara,1970,"['Western', 'Adventure', 'Romance']","When a wandering mercenary named Hogan rescues a nun called Sister Sara from the unwanted attentions of a band of rogues on the Mexican plains, he has no idea what he has let himself in for. Their chance encounter results in the blowing up of a train and a French garrison, as well as igniting a spark between them that survives a shocking discovery.","['gunslinger', 'brothel', 'mexican revolution', 'treasure hunt', 'execution', 'attempted rape', 'disguise', 'illegal prostitution', 'civil war veteran', 'gringo', 'french army', 'military camp']",['US'],5050000,619,True,True,['genre_period'],,,,,[],unknown,0.3,"['overview', 'keywords']"
653,Nosferatu,1922,"['Horror', 'Fantasy']","The mysterious Count Orlok summons a happily married real estate agent to his castle, located up in the Transylvanian mountains, to finalise a terrifying deal.","['self sacrifice', 'transylvania', 'germany', 'loss of loved one', 'vampire', 'shapeshifting', 'coffin', 'supernatural', 'castle', 'ghost ship', 'black and white', 'silent film', 'seashore', 'vampire bat', 'real estate agent', 'ghoul', 'psychotronic', 'locket', 'sailing ship', 'corpse in coffin', 'nosferatu', 'real estate', 'black death', 'expressionism', 'mountain country', 'sleepwalking', 'romania', 'rat', 'german expressionism', 'dracula']",['DE'],48892,2335,True,False,['fantasy_penalty'],,,,,[],unknown,0.3,"['overview', 'keywords']"
